,Refcode,DOI,Authors,Journal,Journal year,Journal volume,Journal page or number,Cation SMILES,Cation substructure SMILES,Space group,Int Tables number,Temperature,a,b,c,alpha,beta,gamma,V,Z,R factor,MX4 type,M,X,X_t1,X_t2,X_d1,X_d2,X_d3,X_d4,t1_t2,t1_d1,t1_d2,t1_d3,t1_d4,t2_d1,t2_d2,t2_d3,t2_d4,d1_d2,d1_d3,d1_d4,d2_d3,d2_d4,d3_d4,d_average,delta_d,sigma_2,X...X contacts,VdW contacts,N_XX,N_VdW,XX_min,XX_average,VdW_average,Type of bandgap,Bandgap,Bangap estimation comments
209,XIFXER,10.1039/C3DT51726H,"M.Owczarek, R.Jakubas, A.Pietraszko, W.Medycki, Jan Baran",Dalton Trans. ,2013,42.0,15069,[NH2+]1CCOCC1,[NH2+]1CCOCC1,P21/c,14,300.0,12.666,12.675,8.087,90.0,108.33,90.0,1232.425,4,2.71,alpha,Bi,Br,2.6567,2.6628,3.1474,2.8005,3.1642,3.0014,92.518,85.249,95.298,167.502,87.867,170.534,87.72,90.124,89.449,83.337,94.03,99.643,97.012,175.841,79.942,2.9055,0.0052608,33.7276,4.0198 3.9162 3.9162 3.912 4.0131 4.0131,,6.0,0.0,3.912,3.9651,3.912,,,
210,XIFXER01,10.1039/C3DT51726H,"M.Owczarek, R.Jakubas, A.Pietraszko, W.Medycki, Jan Baran",Dalton Trans. ,2013,42.0,15069,[NH2+]1CCOCC1,O1CC[NH2+]CC,P-1,2,210.0,12.4513,12.6024,8.1075,90.115,106.539,96.441,1211.095,2,6.48,alpha,Bi,Br,2.6498,2.6736,3.124,2.9439,3.1642,2.8532,92.626,89.044,91.112,167.349,87.37,170.369,88.977,86.146,92.917,81.936,94.108,96.3,101.268,175.612,80.456,2.9015,0.00517583,38.0,3.9726 3.8174 3.7843 3.7192 4.1066 3.9212 3.9642 3.8364,3.7843 3.7192,6.0,2.0,3.7192,3.8902,3.7518,,,
211,XIFXER02,10.1039/C3DT51726H,"M.Owczarek, R.Jakubas, A.Pietraszko, W.Medycki, Jan Baran",Dalton Trans. ,2013,42.0,15069,[NH2+]1CCOCC1,[NH2+]1CCOCC1,P21/c,14,346.0,12.744,14.106,7.5546,90.0,106.35,90.0,1303.147,4,4.15,alpha,Bi,Br,2.6824,2.7117,3.0961,2.8816,3.1654,2.9187,92.492,90.81,92.642,172.403,89.126,172.907,87.299,91.766,92.743,86.279,85.666,93.583,93.841,178.228,84.388,2.9093,0.00377803,11.2967,3.8248 4.1324 4.1324 3.6662 4.5721 4.5721,3.6662,6.0,1.0,3.6662,4.15,3.6662,,,
212,XIGNUY,10.1039/C3DT51726H,"M.Owczarek, R.Jakubas, A.Pietraszko, W.Medycki, Jan Baran",Dalton Trans. ,2013,42.0,15069,[NH2+]1CCOCC1,[NH2+]1CCOCC1,Pbca,61,100.0,12.273,8.397,23.276,90.0,90.0,90.0,2398.74,8,2.44,alpha,Sb,Br,2.5448,2.5773,3.2042,2.6556,3.3265,3.0112,92.422,82.961,95.099,165.64,89.023,169.245,86.757,85.07,87.179,83.998,101.756,102.394,98.865,172.804,76.745,2.8866,0.01151644,64.2973,4.0516 3.7051 3.7051 3.6293 3.6293,3.7051 3.7051 3.6293 3.6293,5.0,4.0,3.6293,3.7441,3.6672,,,
213,XIGPAG,10.1039/C3DT51726H,"M.Owczarek, R.Jakubas, A.Pietraszko, W.Medycki, Jan Baran",Dalton Trans. ,2013,42.0,15069,[NH2+]1CCOCC1,[NH2+]1CCOCC1,Pbca,61,100.0,11.776,8.293,22.415,90.0,90.0,90.0,2189.012,8,1.75,alpha,Sb,Cl,2.3798,2.4032,3.124,2.4897,3.2832,2.8456,92.047,81.556,92.79,163.028,87.957,168.328,87.015,82.794,85.52,83.577,106.033,103.892,103.026,172.519,75.561,2.7543,0.01665995,94.347,4.022 3.7406 3.7406 3.575 3.575,3.575 3.575,5.0,2.0,3.575,3.7306,3.575,,,
214,XOLJUE,10.1039/b812588k,"Wenhua Bi, N.Mercier",Chem.Commun. ,2008,,5743,[NH3+][C@H](C(=O)O)CSSC[C@@H](C(=O)O)[NH3+],[NH3+][C@H](C(=O)O)CSSC[C@@H](C(=O)O)[NH3+],P21,4,296.0,12.317,7.763,15.223,90.0,93.07,90.0,1453.487,2,4.4,alpha,Bi,I,2.8862,2.9792,3.2092,3.1087,3.3251,3.0826,94.548,90.771,95.348,171.514,90.124,171.36,86.3,91.23,92.626,87.26,83.847,92.97,88.958,174.492,85.655,3.0985,0.00229287,19.7902,4.4551 4.114 5.1772 4.0442 4.8672 4.0531 4.8324 4.9033,4.114 4.0442 4.0531,6.5,3.0,4.0442,4.5558,4.0704,,,
215,XUQQAB,10.1103/PhysRevB.67.024103,"R.Jakubas, Z.Ciunik, G.Bator",Phys.Rev.B:Condens.MatterMater.Phys.,2003,67.0,24103,[nH+]1ccc(N)cc1,[nH+]1ccc(N)cc1,Cc,9,258.0,13.3221,38.001,7.8882,90.0,123.872,90.0,3315.681,12,4.28,alpha,Sb,Cl,2.3756,2.3772,3.2081,2.6561,3.1989,2.6502,92.694,80.785,88.142,171.262,88.89,169.99,88.196,81.786,89.509,84.109,105.517,97.828,98.362,175.692,84.383,2.7444,0.01575534,56.5235,3.734 3.7465 3.6493 4.1066 4.1792 3.6888 3.7045 3.865 3.9515,,6.0,0.0,3.6493,3.8473,3.6493,,,
216,XUQQAB01,10.1103/PhysRevB.67.024103,"R.Jakubas, Z.Ciunik, G.Bator",Phys.Rev.B:Condens.MatterMater.Phys.,2003,67.0,24103,[nH+]1ccc(N)cc1,[nH+]1ccc(N)cc1,P21/c,14,100.0,7.9558,12.4372,10.9002,90.0,93.276,90.0,1076.789,4,2.51,alpha,Sb,Cl,2.3784,2.3827,3.2094,2.6835,3.21,2.6181,92.571,81.924,86.701,166.941,87.489,172.645,88.773,78.574,89.734,86.054,107.653,94.868,102.524,173.93,82.935,2.747,0.01584506,70.8011,3.608 3.608 3.9778 3.9778 3.7163 3.7163,,6.0,0.0,3.608,3.7674,3.608,,,
217,XUQQAB02,10.1103/PhysRevB.67.024103,"R.Jakubas, Z.Ciunik, G.Bator",Phys.Rev.B:Condens.MatterMater.Phys.,2003,67.0,24103,[nH+]1ccc(N)cc1,[nH+]1ccc(N)cc1,C2/c,15,278.0,13.3564,12.7216,7.8675,90.0,123.82,90.0,1110.604,4,4.72,alpha,Sb,Cl,2.3723,2.3723,3.204,2.6491,3.204,2.6491,92.706,81.609,88.821,170.904,88.379,170.904,88.379,81.609,88.821,84.429,104.88,98.061,98.061,175.944,84.429,2.7418,0.0159075,51.7838,3.7046 3.7046 3.7046 3.7046 3.9293 3.9293 3.9293 3.9293,,8.0,0.0,3.7046,3.817,3.7046,,,
218,XUQQAB03,10.1016/j.molstruc.2008.02.050,"M.Wojtas, R.Jakubas, J.Zaleski, G.Bator, J.Baran",J.Mol.Struct. ,2008,887.0,262,[nH+]1ccc(N)cc1,[nH+]1ccc(N)cc1,C2/c,15,278.0,13.3564,12.7216,7.8675,90.0,123.82,90.0,1110.604,4,4.72,no data,Sb,Cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,XUQQAB04,10.1016/j.molstruc.2008.02.050,"M.Wojtas, R.Jakubas, J.Zaleski, G.Bator, J.Baran",J.Mol.Struct. ,2008,887.0,262,[nH+]1ccc(N)cc1,[nH+]1ccc(N)cc1,C2/c,15,278.0,13.583,13.008,7.743,90.0,123.75,90.0,1137.527,4,0.0,no data,Sb,Cl Br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,XUQQAB05,10.1016/j.molstruc.2008.02.050,"M.Wojtas, R.Jakubas, J.Zaleski, G.Bator, J.Baran",J.Mol.Struct. ,2008,887.0,262,[nH+]1ccc(N)cc1,[nH+]1ccc(N)cc1,C2/c,15,278.0,13.663,13.085,7.717,90.0,123.74,90.0,1147.269,4,0.0,no data,Sb,Cl Br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,XUQQAB06,10.1107/S2052520618003669,A.Gagor,"Acta Crystallogr.,Sect.B:Struct.Sci.,Cryst.Eng. and Mat. ",2018,74.0,217,[nH+]1ccc(N)cc1,[nH+]1ccc(N)cc1,C2/c,15,320.0,13.4747,12.9393,7.7611,90.0,123.733,90.0,1125.345,4,2.95,alpha,Sb,Cl,2.3847,2.3847,3.1926,2.649,3.1926,2.649,92.902,83.039,89.255,171.872,88.246,171.872,88.246,83.039,89.255,84.674,101.83,97.627,97.627,176.372,84.674,2.7421,0.015044,38.6927,3.7439 3.7439 3.7439 3.7439 3.9755 3.9755 3.9755 3.9755,,8.0,0.0,3.7439,3.8597,3.7439,,,
222,XUQQAB07,10.1107/S2052520618003669,A.Gagor,"Acta Crystallogr.,Sect.B:Struct.Sci.,Cryst.Eng. and Mat. ",2018,74.0,217,[nH+]1ccc(N)cc1,[nH+]1ccc(N)cc1,C2/c,15,290.0,13.3923,12.815,7.8256,90.0,123.735,90.0,1116.899,4,2.74,alpha,Sb,Cl,2.3805,2.3805,3.1975,2.6476,3.1975,2.6476,92.668,82.081,89.111,171.183,88.384,171.183,88.384,82.081,89.111,84.474,103.975,97.775,97.775,176.372,84.474,2.7419,0.01538891,46.9653,3.7155 3.7155 3.7155 3.7155 3.9514 3.9514 3.9514 3.9514,,8.0,0.0,3.7155,3.8334,3.7155,,,
223,XUQQAB08,10.1107/S2052520618003669,A.Gagor,"Acta Crystallogr.,Sect.B:Struct.Sci.,Cryst.Eng. and Mat. ",2018,74.0,217,[nH+]1ccc(N)cc1,[nH+]1ccc(N)cc1,Cc,9,260.0,13.33,12.69,7.87,90.0,123.8,90.0,1106.266,4,3.62,alpha,Sb,Cl,2.375,2.3752,3.1855,2.6275,3.2134,2.6632,92.892,81.387,89.719,170.036,88.075,171.316,88.493,81.061,88.165,84.969,105.482,98.112,97.983,175.897,83.844,2.74,0.01570528,54.9371,3.6877 3.6877 3.9117 3.9117 3.9304 3.9304,,6.0,0.0,3.6877,3.8433,3.6877,,,
224,XUQQAB09,10.1107/S2052520618003669,A.Gagor,"Acta Crystallogr.,Sect.B:Struct.Sci.,Cryst.Eng. and Mat. ",2018,74.0,217,[nH+]1ccc(N)cc1,[nH+]1ccc(N)cc1,Cc,9,245.0,13.3,12.66,7.89,90.0,123.8,90.0,1103.965,4,5.21,alpha,Sb,Cl,2.3521,2.4,3.2309,2.6259,3.1849,2.6699,92.665,81.108,88.742,170.12,87.603,170.973,88.978,81.131,88.816,84.381,105.89,97.396,98.77,175.639,84.604,2.744,0.01600034,56.309,3.6787 3.6787 3.9567 3.9567 3.8554 3.8554,,6.0,0.0,3.6787,3.8303,3.6787,,,
225,XUQQAB10,10.1107/S2052520618003669,A.Gagor,"Acta Crystallogr.,Sect.B:Struct.Sci.,Cryst.Eng. and Mat. ",2018,74.0,217,[nH+]1ccc(N)cc1,[nH+]1ccc(N)cc1,P21/n,14,200.0,13.208,12.526,7.9251,90.0,123.914,90.0,1088.096,4,1.39,alpha,Sb,Cl,2.3776,2.3835,3.2154,2.6728,3.2068,2.618,92.559,82.391,87.356,167.336,87.43,172.659,88.822,79.017,90.016,85.637,106.822,95.056,101.771,174.602,83.172,2.7457,0.01595174,64.8011,3.6356 3.6356 3.9954 3.9954 3.7526 3.7526,,6.0,0.0,3.6356,3.7945,3.6356,,,
226,XUQQAB11,10.1107/S205698901800107X,"S.Kansiz, Z.M.Almarhoon, N.Dege","Acta Crystallogr.,Sect.E:Cryst.Commun. ",2018,74.0,217,[nH+]1ccc(N)cc1,[nH+]1ccc(N)cc1,C2/c,15,320.0,13.4747,12.9393,7.7611,90.0,123.733,90.0,1125.345,4,2.95,no data,Sb,Cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,XUQQAB12,10.1107/S205698901800107X,"S.Kansiz, Z.M.Almarhoon, N.Dege","Acta Crystallogr.,Sect.E:Cryst.Commun. ",2018,74.0,217,[nH+]1ccc(N)cc1,[nH+]1ccc(N)cc1,Cc,9,245.0,13.3,12.66,7.89,90.0,123.8,90.0,1103.965,4,5.21,no data,Sb,Cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,XUQQAB13,10.1107/S205698901800107X,"S.Kansiz, Z.M.Almarhoon, N.Dege","Acta Crystallogr.,Sect.E:Cryst.Commun. ",2018,74.0,217,[nH+]1ccc(N)cc1,[nH+]1ccc(N)cc1,C2/c,15,290.0,13.3923,12.815,7.8256,90.0,123.735,90.0,1116.899,4,2.74,no data,Sb,Cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,XUQQAB14,10.1107/S205698901800107X,"S.Kansiz, Z.M.Almarhoon, N.Dege","Acta Crystallogr.,Sect.E:Cryst.Commun. ",2018,74.0,217,[nH+]1ccc(N)cc1,[nH+]1ccc(N)cc1,Cc,9,260.0,13.33,12.69,7.87,90.0,123.8,90.0,1106.266,4,3.62,no data,Sb,Cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,XUQQAB15,10.1107/S205698901800107X,"S.Kansiz, Z.M.Almarhoon, N.Dege","Acta Crystallogr.,Sect.E:Cryst.Commun. ",2018,74.0,217,[nH+]1ccc(N)cc1,[nH+]1ccc(N)cc1,P21/n,14,200.0,13.208,12.526,7.9251,90.0,123.914,90.0,1088.096,4,1.39,no data,Sb,Cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,YAYZII,10.1107/S1600536805035804,"Yun-Yin Niu, Ning Zhang, Hong-Wei Hou, Seik Weng Ng","Acta Crystallogr.,Sect.E:Struct.Rep.Online ",2005,61.0,m2534,c1[nH]c2ccccc2[n+]1CCCC[n]3cnc4c3cccc4,c1[nH]c2ccccc2[n+]1CCCC[n]3cnc4c3cccc4,C2/c,15,291.0,19.9,16.809,7.66,90.0,106.23,90.0,2460.15,4,2.9,alpha,Bi,I,2.9151,2.9151,3.2644,3.0785,3.2644,3.0785,92.869,90.006,92.863,177.108,91.248,177.108,91.248,90.006,92.863,88.287,87.122,87.391,87.391,174.034,88.287,3.086,0.00213823,5.0459,6.288 6.288 6.288 6.288,,4.0,0.0,6.288,6.288,6.288,,,
232,YOCTOD,10.1021/acs.inorgchem.3c04476,"MingLiang Ding, Qiong Wu, Yaoguo Shen",Inorg.Chem,2024,64.0,9701,[nH]1c[nH+]c2cc(C(=O)O)ccc12,[nH]1c[nH+]c2cc(C(=O)O)ccc12.O,P21/n,14,293.0,7.4002,24.1635,18.0432,90.0,98.79,90.0,3188.496,4,6.6,alpha,Bi,Br,2.6785,2.7151,3.0674,2.912,3.1173,2.834,92.266,92.416,94.334,176.202,90.42,171.859,87.408,88.036,90.943,85.832,87.607,95.453,88.512,175.02,86.736,2.8874,0.00325371,10.9351,3.7856 4.7644 3.9375,3.7856,2.5,1.0,3.7856,4.1625,3.7856,direct,2.78,
233,ZEHCUO,10.1002/adfm.202202160,"Chuang Ma, Haojin Li, Ming Chen, Yucheng Liu, Kui Zhao, Shengzhong (Frank) Liu",Adv.Funct.Mater. ,2022,32.0,2202160,c1ccccc1C(N)=[NH2+],c1ccccc1C(N)=[NH2+],Pbca,61,296.0,16.1718,7.6997,25.1003,90.0,90.0,90.0,3125.439,8,2.88,alpha,Bi,I,2.8922,2.909,3.3488,3.0339,3.2882,3.1567,98.423,88.627,92.467,166.962,86.237,172.215,88.18,93.3,94.023,88.222,80.04,89.709,93.595,177.585,87.272,3.1048,0.00318867,22.389,3.6594 4.6089 4.2064 4.2064,3.6594,4.0,1.0,3.6594,4.1703,3.6594,indirect,1.77,
234,ZINZII,10.1016/j.poly.2018.08.017,"P.A.Buikin, A.B.Ilyukhin, N.P.Simonenko, V.K.Laurinavichyute, V.Yu.Kotov",Polyhedron ,2018,154.0,430,c1cc(N)[n+](cc1)CCCCCC[n+]2c(N)cccc2,c1cc(N)[n+](cc1)CCCCCC[n+]2c(N)cccc2.O.O,P21/c,14,150.0,11.7592,19.5474,7.8227,90.0,100.747,90.0,1766.601,2,3.37,alpha,Bi,I,2.8957,2.9867,3.1416,3.1428,3.3565,3.0215,95.741,91.21,96.431,172.347,91.332,169.559,85.965,90.132,94.352,85.521,83.669,93.263,88.857,172.163,83.313,3.0908,0.00226079,20.8733,4.5825 4.2565 4.2565 4.8696,,4.0,0.0,4.2565,4.4913,4.2565,,,
235,ZIRDUC,10.1016/j.poly.2018.12.017,"S.A.Adonin, I.D.Gorokh, D.G.Samsonenko, A.S.Novikov, I.V.Korolkov, P.E.Plyusnin, M.N.Sokolov, V.P.Fedin",Polyhedron ,2019,159.0,318,[nH+]1c(C)cccc1,[nH+]1c(C)cccc1,P21/c,14,130.0,12.8277,13.3221,7.5799,90.0,107.095,90.0,1238.114,4,3.26,alpha,Bi,Br,2.6384,2.697,3.0763,2.9042,3.2318,2.8583,92.823,91.165,88.211,171.693,89.638,175.886,93.37,82.935,95.043,85.74,93.233,85.989,99.135,171.409,83.649,2.901,0.00500184,24.3484,3.7432 3.8603 3.8603 3.6155 4.6988 4.6988,3.7432 3.6155,6.0,2.0,3.6155,4.0795,3.6794,,,
236,ZOJKAO,10.1039/D3RA08885E,"I.Chaabane, W.Rekik, H.Ghalla, M.Zaghrioui, J.Lhoste, A.Oueslati",RSC Advances ,2024,14.0,3588,[nH+]1c(N)ccc(C)c1,[nH+]1c(N)ccc(C)c1,P-1,2,296.0,7.9767,9.0843,9.3456,86.352,69.069,74.829,610.141,1,2.56,alpha,Sb,Cl,2.3677,2.4097,3.0196,2.8527,3.4559,2.4943,92.692,84.247,84.388,164.097,88.931,176.395,89.808,87.617,92.941,88.001,95.852,88.913,111.515,172.89,75.177,2.7667,0.01975353,73.5806,3.68 4.3434 4.1401 4.1401,,4.0,0.0,3.68,4.0759,3.68,direct,3.57,
237,ZOZLEF,10.1107/S0108270195010948,"B.M.Yamin, H.-K.Fun, K.Sivakumar, B.-C.Yip, O.B.Shawkataly","Acta Crystallogr.,Sect.C:Cryst.Struct.Commun. ",1996,52.0,600,c1ccc[cH-]1.[Fe+3].[cH-]2cccc2,c1ccc[cH-]1.[Fe+3].[cH-]2cccc2,P21/c,14,193.0,10.733,17.017,7.683,90.0,97.49,90.0,1391.277,4,2.48,alpha,Sb,Cl,2.3888,2.4227,3.0063,2.5789,3.3202,2.6832,91.183,83.582,91.029,164.202,85.182,174.186,90.13,84.617,89.443,87.444,101.099,92.625,104.174,176.178,79.567,2.7333,0.01473396,49.3207,4.1521,,1.0,0.0,4.1521,4.1521,4.1521,,,
238,ZUCSOH,10.1039/C5CE00046G,"A.Gagor, M.Weclawik, B.Bondzior, R.Jakubas",CrystEngComm ,2015,17.0,3286,[nH+]1c(C)[nH]cc1,[nH+]1c(C)[nH]cc1,C2/c,15,330.0,13.7359,13.0043,7.8727,90.0,94.636,90.0,1401.666,4,2.61,alpha,Bi,I,2.9081,2.9081,3.2733,3.0937,3.2733,3.0937,92.776,90.842,95.01,173.057,88.053,173.057,88.053,90.842,95.01,85.728,86.192,91.032,91.032,175.567,85.728,3.0917,0.00232571,10.9124,3.993 3.993 3.993 3.993 4.3152 4.3152 4.3152 4.3152,3.993 3.993 3.993 3.993,8.0,4.0,3.993,4.1541,3.993,direct,2.0,
