,Refcode,DOI,Authors,Journal,Journal year,Journal volume,Journal page or number,Cation SMILES,Cation substructure SMILES,Space group,Int Tables number,Temperature,a,b,c,alpha,beta,gamma,V,Z,R factor,MX4 type,M,X,X_t1,X_t2,X_d1,X_d2,X_d3,X_d4,t1_t2,t1_d1,t1_d2,t1_d3,t1_d4,t2_d1,t2_d2,t2_d3,t2_d4,d1_d2,d1_d3,d1_d4,d2_d3,d2_d4,d3_d4,d_average,delta_d,sigma_2,X...X contacts,VdW contacts,N_XX,N_VdW,XX_min,XX_average,VdW_average,Type of bandgap,Bandgap,Bangap estimation comments
157,PYDBSB05,10.1246/bcsj.74.77,"K.Yamada, T.Tsuda, C.Holst, T.Okuda, H.Ehrenberg, I.Svoboda, H.-G.Krane, H.Fuess",Bull.Chem.Soc.Jpn. ,2001,74.0,77,[nH+]1ccccc1,[nH+]1ccccc1,P-1,2,170.0,7.635,8.712,8.798,95.135,90.404,94.629,580.899,2,10.91,alpha,Sb,Br,2.5607,2.5789,3.1351,2.9336,3.2969,2.724,94.573,87.405,87.677,170.851,88.822,174.624,87.2,91.254,92.694,87.886,87.42,92.345,99.665,176.478,83.857,2.8715,0.00926289,18.0794,3.4835 4.202 4.202 3.6311 4.2323 4.2323,3.4835 3.6311,6.0,2.0,3.4835,3.9972,3.5573,direct,2.61,
158,PYDBSB06,10.1246/bcsj.74.77,"K.Yamada, T.Tsuda, C.Holst, T.Okuda, H.Ehrenberg, I.Svoboda, H.-G.Krane, H.Fuess",Bull.Chem.Soc.Jpn. ,2001,74.0,77,[nH+]1ccccc1,[nH+]1ccccc1,P-1,2,110.0,7.608,8.678,8.788,95.013,89.889,95.134,575.655,2,10.46,alpha,Sb,Br,2.5616,2.5792,3.1107,2.9503,3.3098,2.7073,94.563,87.102,86.936,170.248,88.838,175.244,87.195,92.129,93.032,88.447,86.791,91.454,100.488,175.772,83.725,2.8698,0.00938893,20.5226,3.4603 4.1685 4.1685 3.6283 4.219 4.219,3.4603 3.6283,6.0,2.0,3.4603,3.9773,3.5443,direct,2.61,
159,PYDBSB07,10.1039/D2CP01996E,"A.D.Nicholas, L.C.Garman, N.Albano, C.L.Cahill",Phys.Chem.Chem.Phys. ,2022,24.0,15305,[nH+]1ccccc1,[nH+]1ccccc1,P-1,2,100.0,7.592,8.6466,8.775,84.957,89.797,84.688,571.335,1,2.87,alpha,Sb,Br,2.5569,2.5778,3.1036,2.9502,3.3077,2.6995,94.658,86.955,86.589,170.073,88.906,175.452,87.162,92.314,93.084,88.692,86.628,91.196,100.825,175.493,83.665,2.866,0.00943481,21.6859,3.4466 4.1494 4.1494 3.618 4.2042 4.2042,3.4466 3.618,6.0,2.0,3.4466,3.962,3.5323,direct,2.61,
160,PYRCSB10,10.1039/j19700001356,"S.K.Porter, R.A.Jacobson",J.Chem.Soc.A ,1970,,1356,[nH+]1ccccc1,[nH+]1ccccc1,C2/c,15,295.0,12.92,12.83,7.48,90.0,122.4,90.0,1046.892,4,3.8,alpha,Sb,Cl,2.3807,2.3807,3.1251,2.6315,3.126,2.6315,94.295,86.823,89.009,172.963,88.635,172.963,88.635,86.823,89.009,84.434,92.916,97.969,97.969,176.536,84.434,2.7126,0.01301343,20.1498,3.7087 3.7091 3.7087 3.7091 3.7091 3.7091 3.7091 3.7091,,8.0,0.0,3.7087,3.709,3.7087,direct,3.4,
161,PYRCSB11,10.1039/D2CP01996E,"A.D.Nicholas, L.C.Garman, N.Albano, C.L.Cahill",Phys.Chem.Chem.Phys. ,2022,24.0,15305,[nH+]1ccccc1,[nH+]1ccccc1,P-1,2,100.0,7.597,8.988,9.242,88.53,68.29,65.01,524.978,2,7.24,alpha,Sb,Cl,2.3935,2.4199,3.1193,2.8492,3.1956,2.5277,94.32,86.1,84.687,168.218,88.562,179.493,87.937,84.579,90.474,92.385,94.951,89.254,106.967,172.926,79.726,2.7509,0.01388113,47.4752,3.6202 3.6049 3.6049 3.8397 3.7483 3.7483,,6.0,0.0,3.6049,3.6944,3.6049,direct,3.4,
162,QAFHOV,10.1016/S0022-2860(02)00509-4,"M.Bujak, J.Zaleski",J.Mol.Struct. ,2003,647.0,121,[nH+]1c[nH]cc1,[nH+]1c[nH]cc1,C2/c,15,297.0,10.692,11.911,7.757,90.0,93.66,90.0,985.858,4,2.0,alpha,Sb,Cl,2.3717,2.3717,3.2282,2.6319,3.2282,2.6319,93.835,84.035,89.163,171.462,86.861,171.462,86.861,84.035,89.163,84.845,89.244,98.954,98.954,174.179,84.845,2.7439,0.01707241,29.1859,3.4241 3.4241 3.4241 3.4241 4.0974 4.0974 4.0974 4.0974 4.2916 4.2916,3.4241 3.4241 3.4241 3.4241,10.0,4.0,3.4241,3.8669,3.4241,,,
163,QINCOI,10.1007/s11172-018-2204-6,"T.A.Shestimerova, N.G.Golubev, A.V.Mironov, M.A.Bykov, A.V.Shevelkov",Russ.Chem.Bull. ,2018,67.0,1212,CC(C)=[NH+]c1ccc(cc1)[NH+]=C(C)C,CC(C)=[NH+]c1ccc(cc1)[NH+]=C(C)C,P21/n,14,293.0,7.632,13.471,14.556,90.0,93.57,90.0,1493.608,2,4.32,alpha,Bi,I,2.9095,2.967,3.1894,3.1261,3.2811,3.0275,94.353,87.821,98.369,169.971,90.007,172.114,86.931,95.228,94.659,85.252,83.079,92.919,85.112,171.341,86.267,3.0834,0.0017365,24.4533,4.4119 4.4119 4.4895 4.4895,,4.0,0.0,4.4119,4.4507,4.4119,indirect,2.08,
164,QONDEG,10.5517/ccdc.csd.cc2jv57t,Dongjing Hong,CCDC ,2024,,,[n](C)1c[n+](C)c2cc(C)c(C)cc12,[n](C)1c[n+](C)c2cc(C)c(C)cc12,C2/c,15,289.0,13.8147,17.9362,7.7932,90.0,93.204,90.0,1928.006,4,4.57,alpha,Bi,I,2.9175,2.9175,3.2794,3.092,3.2794,3.092,93.8,91.118,94.838,173.523,90.768,173.523,90.768,91.118,94.838,84.613,84.302,89.302,89.302,171.797,84.613,3.0963,0.00227784,14.2194,4.2105 4.2105 4.2105 4.2105,,4.0,0.0,4.2105,4.2105,4.2105,,,
165,QQQGRD,10.1021/ic50141a046,"J.M.Stewart, K.L.McLaughlin, J.J.Rossiter, J.R.Hurst, R.G.Haas, V.J.Rose, B.R.Ciric, J.A.Murphy, S.L.Lawton",Inorg.Chem. ,1974,13.0,2767,C[n+]1ccccc1,C[n+]1ccccc1,P21/c,14,295.0,12.73,13.54,7.59,90.0,107.3,90.0,1249.06,4,0.0,no data,Sb,Br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,QQQGRG,10.1021/ic50141a046,"J.M.Stewart, K.L.McLaughlin, J.J.Rossiter, J.R.Hurst, R.G.Haas, V.J.Rose, B.R.Ciric, J.A.Murphy, S.L.Lawton",Inorg.Chem. ,1974,13.0,2767,[nH+]1c(C)cccc1,[nH+]1c(C)cccc1,P21/c,14,295.0,12.84,13.31,7.65,90.0,106.6,90.0,1252.899,4,0.0,no data,Sb,Br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,QQQGRJ,10.1021/ic50141a046,"J.M.Stewart, K.L.McLaughlin, J.J.Rossiter, J.R.Hurst, R.G.Haas, V.J.Rose, B.R.Ciric, J.A.Murphy, S.L.Lawton",Inorg.Chem. ,1974,13.0,2767,[nH+]1cc(C)ccc1,[nH+]1cc(C)ccc1,P21/c,14,295.0,12.51,13.64,7.72,90.0,106.9,90.0,1260.423,4,0.0,no data,Sb,Br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,QQQGRM,10.1021/ic50141a046,"J.M.Stewart, K.L.McLaughlin, J.J.Rossiter, J.R.Hurst, R.G.Haas, V.J.Rose, B.R.Ciric, J.A.Murphy, S.L.Lawton",Inorg.Chem. ,1974,13.0,2767,Clc1[nH+]c(Cl)ccc1,Clc1[nH+]c(Cl)ccc1,P2/m,10,295.0,10.54,10.76,13.45,90.0,110.2,90.0,1431.549,4,0.0,no data,Sb,Br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,QQQGRP,10.1021/ic50141a046,"J.M.Stewart, K.L.McLaughlin, J.J.Rossiter, J.R.Hurst, R.G.Haas, V.J.Rose, B.R.Ciric, J.A.Murphy, S.L.Lawton",Inorg.Chem. ,1974,13.0,2767,[nH+]1cccc2ccccc12,[nH+]1cccc2ccccc12,Cc,9,295.0,15.28,14.04,7.44,90.0,118.3,90.0,1405.341,4,0.0,no data,Sb,Br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,QQQGRP01,10.5517/ccdc.csd.ccqw2wj,"M.Wojtas, R.Jakubas",CCDC ,2016,,,[nH+]1cccc2ccccc12,[nH+]1cccc2ccccc12,C2/c,15,160.0,15.1938,14.0013,7.3629,90.0,118.165,90.0,1380.865,4,3.62,alpha,Sb,Br,2.5819,2.5819,3.1679,2.804,3.1679,2.804,94.478,91.784,91.823,171.634,88.969,171.634,88.969,91.784,91.823,85.287,82.554,93.834,93.834,178.833,85.287,2.8513,0.00717734,14.9506,4.1408 4.1408 4.1408 4.1408 4.7458 4.7458 4.7458 4.7458,,8.0,0.0,4.1408,4.4433,4.1408,,,
171,QQQGRS,10.1021/ic50141a046,"J.M.Stewart, K.L.McLaughlin, J.J.Rossiter, J.R.Hurst, R.G.Haas, V.J.Rose, B.R.Ciric, J.A.Murphy, S.L.Lawton",Inorg.Chem. ,1974,13.0,2767,c1[nH+]ccc2ccccc12,c1[nH+]ccc2ccccc12,P21/a,14,295.0,13.11,14.14,7.57,90.0,91.4,90.0,1402.873,4,0.0,no data,Sb,Br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
